reference_index,maximum_centered_score,tie_count,winning_rule_indices
0,7973,1,410
1,9021,1,1150
2,9802,1,397
3,8549,1,410
4,8648,1,8
5,9175,1,1445
6,8299,1,1775
7,8926,1,2779
8,8574,1,1113
9,9136,1,1613
10,8104,1,246
11,8024,1,552
12,7725,1,529
13,7357,1,1112
14,7596,1,2409
15,9052,1,458
16,8540,1,1448
17,8471,1,1261
18,8006,1,7
19,9230,1,323
20,8524,1,1794
21,8797,1,415
22,8672,1,2397
23,8347,1,2234
24,8414,1,2331
25,7707,1,762
26,8084,1,2732
27,9770,1,1305
28,8820,1,1658
29,8398,1,2967
30,7361,1,1891
31,7990,1,265
32,8876,1,221
33,7755,1,1263
34,9458,1,2690
35,8851,1,2393
36,7556,1,2154
37,9950,1,1735
38,8112,1,2018
39,8544,1,2328
40,9644,1,725
41,7955,1,582
42,8132,1,2435
43,9199,1,140
44,7577,1,365
45,8718,1,2981
46,10225,1,1629
47,8136,1,1343
48,9487,1,2529
49,9396,1,495
50,8243,1,965
51,7873,1,2285
52,8493,1,2865
53,10489,1,2143
54,8543,1,1568
55,8487,1,2517
56,7971,1,1201
57,7546,1,2631
58,8197,1,2785
59,8386,1,1632
60,8694,1,2269
61,9288,1,1932
62,8061,1,2029
63,10473,1,1135
64,8490,1,567
65,7669,1,2566
66,8142,1,2804
67,8946,1,566
68,8435,1,844
69,9003,1,2781
70,7783,1,1831
71,9148,1,1887
72,8652,1,1765
73,8293,1,108
74,8633,1,273
75,8282,1,1402
76,9160,1,2099
77,7957,1,261
78,8331,1,645
79,7002,1,1122
80,7644,1,2968
81,8009,1,680
82,7700,1,2325
83,7629,1,2237
84,8436,1,299
85,9466,1,2375
86,7949,1,1224
87,8002,1,1632
88,7490,1,1971
89,8471,1,1722
90,8615,1,2150
91,7910,1,2741
92,8236,1,1429
93,8058,1,1041
94,7492,1,2949
95,8793,1,1689
96,9021,1,1484
97,8939,1,1217
98,7758,1,1735
99,10068,1,2324
100,7942,1,733
101,7786,1,1687
102,8075,1,2196
103,8248,1,101
104,8700,1,638
105,10459,1,2207
106,10077,1,2799
107,7730,1,294
108,7964,1,701
109,7583,1,276
110,8083,1,1166
111,7633,1,1763
112,8830,1,2386
113,8226,1,2580
114,9040,1,97
115,9111,1,2039
116,10350,1,794
117,10221,1,1484
118,8890,1,2737
119,8155,1,311
120,9548,1,1183
121,8554,1,735
122,9344,1,1373
123,7468,1,725
