rule_index,direction,offset,multiplier,intercept,centered_score,matches,incorrect,matrix_total
0,1,0,1,0,-2246,25195,662181,405366
1,1,0,1,1,704,30879,656497,493360
2,1,0,1,2,821,26204,661172,418443
3,1,0,1,3,527,31638,655738,505681
4,1,0,1,4,-2019,25638,661738,412227
5,1,0,1,5,414,31209,656167,498930
6,1,0,1,6,-4024,26849,660527,433608
7,1,0,1,7,2758,31556,655820,502138
8,1,0,1,8,3400,26656,660720,423096
9,1,0,1,9,-877,30048,657328,481645
10,1,0,1,10,346,25543,661833,408342
11,1,0,1,11,2321,29154,658222,464143
12,1,0,1,12,-758,27894,659482,447062
13,1,0,1,13,2698,31879,655497,507366
14,1,0,1,14,-1636,27838,659538,447044
15,1,0,1,15,-2580,28129,659247,452644
16,1,0,1,16,840,25204,662172,402424
17,1,0,1,17,-442,32604,654772,522106
18,1,0,1,18,-331,27193,660183,435419
19,1,0,1,19,784,27763,659613,443424
20,1,0,1,20,1080,26646,660730,425256
21,1,0,1,21,-3292,32554,654822,524156
22,1,0,1,22,15,29299,658077,468769
23,1,0,1,23,1497,29804,657572,475367
24,1,0,5,0,5091,26256,661120,415005
25,1,0,5,1,-1684,31403,655973,504132
26,1,0,5,2,-1007,27358,660018,438735
27,1,0,5,3,-2234,29143,658233,468522
28,1,0,5,4,-3817,25357,662019,409529
29,1,0,5,5,-2485,31691,655685,509541
30,1,0,5,6,-2677,28690,658686,461717
31,1,0,5,7,3304,30952,656424,491928
32,1,0,5,8,1587,26898,660478,428781
33,1,0,5,9,-175,31620,655756,506095
34,1,0,5,10,-3031,28719,658657,462535
35,1,0,5,11,1410,28462,658914,453982
36,1,0,5,12,-2546,26225,661151,422146
37,1,0,5,13,-1336,30779,656597,493800
38,1,0,5,14,-2541,26102,661274,420173
39,1,0,5,15,-2231,30044,657332,482935
40,1,0,5,16,-401,26013,661363,416609
41,1,0,5,17,4382,32035,655341,508178
42,1,0,5,18,2205,26450,660926,420995
43,1,0,5,19,5680,28621,658755,452256
44,1,0,5,20,383,26484,660892,423361
45,1,0,5,21,503,31645,655731,505817
46,1,0,5,22,2242,25607,661769,407470
47,1,0,5,23,-622,30822,656554,493774
48,1,0,7,0,-474,23686,663690,379450
49,1,0,7,1,-759,30129,657247,482823
50,1,0,7,2,572,27532,659844,439940
51,1,0,7,3,-2704,32859,654517,528448
52,1,0,7,4,-993,24582,662794,394305
53,1,0,7,5,1555,30603,656773,488093
54,1,0,7,6,-2987,27945,659431,450107
55,1,0,7,7,1945,30444,656932,485159
56,1,0,7,8,2320,25984,661392,413424
57,1,0,7,9,-305,29089,658287,465729
58,1,0,7,10,556,27447,659929,438596
59,1,0,7,11,-495,31988,655388,512303
60,1,0,7,12,-1710,28268,659108,453998
61,1,0,7,13,4691,30673,656703,486077
62,1,0,7,14,3854,28375,659001,450146
63,1,0,7,15,-4987,29257,658119,473099
64,1,0,7,16,-2371,26249,661127,422355
65,1,0,7,17,265,29189,658187,466759
66,1,0,7,18,-2188,27232,660144,437900
67,1,0,7,19,1067,30831,656545,492229
68,1,0,7,20,-3081,25453,661923,410329
69,1,0,7,21,1774,31164,656212,496850
70,1,0,7,22,1990,27406,659970,436506
71,1,0,7,23,2465,30991,656385,493391
72,1,0,11,0,2523,27032,660344,429989
73,1,0,11,1,4025,28872,658504,457927
74,1,0,11,2,-1064,28348,659028,454632
75,1,0,11,3,-873,32559,654817,521817
76,1,0,11,4,440,26109,661267,417304
77,1,0,11,5,1914,29312,658064,467078
78,1,0,11,6,2088,27139,660237,432136
79,1,0,11,7,-1264,31515,655861,505504
80,1,0,11,8,-2297,25749,661627,414281
81,1,0,11,9,125,30862,656514,493667
82,1,0,11,10,-2476,28160,659216,453036
83,1,0,11,11,504,31119,656257,497400
84,1,0,11,12,-2359,24405,662971,392839
85,1,0,11,13,2840,31623,655753,503128
86,1,0,11,14,2305,27135,660241,431855
87,1,0,11,15,-2289,29051,658325,467105
88,1,0,11,16,-4094,25317,662059,409166
89,1,0,11,17,-583,30198,657178,483751
90,1,0,11,18,-179,29045,658331,464899
91,1,0,11,19,363,29745,657631,475557
92,1,0,11,20,-522,25610,661766,410282
93,1,0,11,21,-1100,29980,657396,480780
94,1,0,11,22,1123,26110,661266,416637
95,1,0,11,23,850,32381,654995,517246
96,1,0,13,0,2239,26859,660517,427505
97,1,0,13,1,5104,32401,654975,513312
98,1,0,13,2,-464,27069,660307,433568
99,1,0,13,3,-199,28173,659203,450967
100,1,0,13,4,-3589,25436,661940,410565
101,1,0,13,5,-680,33174,654202,531464
102,1,0,13,6,-2095,25508,661868,410223
103,1,0,13,7,-292,29280,658096,468772
104,1,0,13,8,1628,26902,660474,428804
105,1,0,13,9,-3233,32018,655358,515521
106,1,0,13,10,891,26924,660452,429893
107,1,0,13,11,1221,28014,659362,447003
108,1,0,13,12,-5243,26230,661146,424923
109,1,0,13,13,-1702,30357,657019,487414
110,1,0,13,14,-351,26973,660403,431919
111,1,0,13,15,-1854,31594,655782,507358
112,1,0,13,16,2410,25406,661970,404086
113,1,0,13,17,652,30639,656737,489572
114,1,0,13,18,-2260,28534,658842,458804
115,1,0,13,19,3834,30039,657337,476790
116,1,0,13,20,2852,26400,660976,419548
117,1,0,13,21,-936,30584,656792,490280
118,1,0,13,22,-530,27918,659458,447218
119,1,0,13,23,2597,30944,656432,492507
120,1,0,17,0,3982,26763,660613,424226
121,1,0,17,1,-299,30120,657256,482219
122,1,0,17,2,-3662,26413,660963,426270
123,1,0,17,3,-3128,27922,659454,449880
124,1,0,17,4,-1203,26020,661356,417523
125,1,0,17,5,3601,32143,655233,510687
126,1,0,17,6,-3125,29121,658255,469061
127,1,0,17,7,4234,29542,657834,468438
128,1,0,17,8,1027,24942,662434,398045
129,1,0,17,9,1388,31828,655548,507860
130,1,0,17,10,1845,26508,660868,422283
131,1,0,17,11,2010,30602,656774,487622
132,1,0,17,12,-1437,25718,661658,412925
133,1,0,17,13,-2721,32062,655314,515713
134,1,0,17,14,114,27047,660329,432638
135,1,0,17,15,-1337,31265,656111,501577
136,1,0,17,16,-3015,25350,662026,408615
137,1,0,17,17,-1704,31583,655793,507032
138,1,0,17,18,2653,26019,661357,413651
139,1,0,17,19,4750,30031,657345,475746
140,1,0,17,20,943,28440,658936,454097
141,1,0,17,21,-1060,31437,655939,504052
142,1,0,17,22,-2634,27818,659558,447722
143,1,0,17,23,-1222,28682,658694,460134
144,1,0,19,0,-2457,25785,661591,415017
145,1,0,19,1,2357,30215,657161,481083
146,1,0,19,2,980,29858,657518,476748
147,1,0,19,3,-4064,30131,657245,486160
148,1,0,19,4,-2084,24525,662851,394484
149,1,0,19,5,1865,29459,657917,469479
150,1,0,19,6,-2288,26899,660477,432672
151,1,0,19,7,2679,29646,657730,471657
152,1,0,19,8,-131,26007,661369,416243
153,1,0,19,9,1255,29384,657992,468889
154,1,0,19,10,-1812,27417,659959,440484
155,1,0,19,11,3725,31663,655713,502883
156,1,0,19,12,273,26169,661207,418431
157,1,0,19,13,1575,30587,656789,487817
158,1,0,19,14,3446,26049,661327,413338
159,1,0,19,15,-3627,31985,655391,515387
160,1,0,19,16,-1280,26306,661070,422176
161,1,0,19,17,-45,30333,657043,485373
162,1,0,19,18,-2887,28278,659098,455335
163,1,0,19,19,333,31629,655747,505731
164,1,0,19,20,-630,25430,661946,407510
165,1,0,19,21,214,30869,656507,493690
166,1,0,19,22,4358,27436,659940,434618
167,1,0,19,23,-1755,31316,656060,502811
168,1,0,23,0,-1277,26759,660617,429421
169,1,0,23,1,1015,30508,656868,487113
170,1,0,23,2,2642,27228,660148,433006
171,1,0,23,3,-2002,30135,657241,484162
172,1,0,23,4,-4262,26690,660686,431302
173,1,0,23,5,3836,32010,655366,508324
